time_seconds,position_cm
0.0,20.1718
0.0333,19.5389
0.0667,18.4129
0.1,16.8161
0.1333,15.5009
0.1667,13.2888
0.2,11.5671
0.2333,9.9087
0.2667,8.7252
0.3,7.6021
0.3333,6.8208
0.3667,6.734
0.4,6.9321
0.4333,7.3958
0.4667,8.1501
0.5,9.229
0.5333,10.4141
0.5667,11.6429
0.6,12.7332
0.6333,13.8311
0.6667,14.4951
0.7,14.989
0.7333,15.3592
0.7667,15.5493
0.8,15.1682
0.8333,14.9575
0.8667,14.1968
0.9,13.3389
0.9333,12.5876
0.9667,11.9038
1.0,11.0829
1.0333,10.7694
1.0667,10.0474
1.1,9.8959
1.1333,9.8493
1.1667,9.7865
1.2,9.9333
1.2333,10.3372
1.2667,10.8283
1.3,11.3653
1.3333,11.8116
1.3667,12.1847
1.4,12.7336
1.4333,13.0264
1.4667,13.1528
1.5,13.4054
1.5333,13.3652
1.5667,13.437
1.6,13.3616
1.6333,13.0967
1.6667,12.5937
1.7,12.2692
1.7333,12.0302
1.7667,11.7537
1.8,11.3747
1.8333,11.1973
1.8667,11.2571
1.9,11.0194
1.9333,11.0106
1.9667,11.1477
2.0,11.3292
2.0333,11.3875
2.0667,11.6609
2.1,11.8072
2.1333,12.0896
2.1667,12.4503
2.2,12.5128
2.2333,12.5557
2.2667,12.5497
2.3,12.6111
2.3333,12.685
2.3667,12.4799
2.4,12.5322
2.4333,12.1752
2.4667,12.1195
2.5,12.1394
2.5333,11.7068
2.5667,11.8489
2.6,11.5179
2.6333,11.6014
2.6667,11.5697
2.7,11.6563
2.7333,11.374
2.7667,11.5334
2.8,11.7204
2.8333,11.8588
2.8667,11.8786
2.9,12.0236
2.9333,12.0281
2.9667,12.158
3.0,12.171
3.0333,12.2861
3.0667,12.3198
3.1,12.3743
3.1333,12.1757
3.1667,12.1571
3.2,12.1307
3.2333,12.0424
3.2667,12.0004
3.3,11.8223
3.3333,11.9275
3.3667,11.7859
3.4,11.7569
3.4333,11.6946
3.4667,11.9164
3.5,11.8268
3.5333,11.9553
3.5667,11.9184
3.6,11.7988
3.6333,11.8888
3.6667,12.0754
3.7,11.989
3.7333,11.9924
3.7667,12.0868
3.8,12.0996
3.8333,12.0364
3.8667,12.086
3.9,12.0609
3.9333,11.8728
3.9667,12.0966
4.0,11.9654
4.0333,12.1083
4.0667,11.8871
4.1,11.8312
4.1333,12.0357
4.1667,11.8024
4.2,11.8728
4.2333,11.9718
4.2667,11.9035
4.3,11.8079
4.3333,11.9695
4.3667,11.9553
4.4,12.0909
4.4333,12.0522
4.4667,12.2633
4.5,11.9016
4.5333,12.0411
4.5667,11.9632
4.6,12.1427
4.6333,12.1142
4.6667,12.1034
4.7,11.9729
4.7333,11.9654
4.7667,11.8515
4.8,12.1393
4.8333,12.0325
4.8667,11.9616
4.9,12.0497
4.9333,12.03
4.9667,12.0454
5.0,11.8374
5.0333,11.9125
5.0667,11.9896
5.1,12.0084
5.1333,12.0635
5.1667,11.9137
5.2,12.0118
5.2333,12.1847
5.2667,12.0693
5.3,12.0878
5.3333,12.0192
5.3667,12.083
5.4,12.1652
5.4333,12.0272
5.4667,12.1133
5.5,11.9411
5.5333,12.0535
5.5667,12.0738
5.6,11.9367
5.6333,12.0806
5.6667,11.9355
5.7,11.9228
5.7333,11.9859
5.7667,12.1405
5.8,12.0116
5.8333,12.0635
5.8667,11.9326
5.9,12.0003
5.9333,11.9032
5.9667,11.9548
6.0,12.0702
6.0333,12.0027
6.0667,12.1238
6.1,11.9926
6.1333,11.9934
6.1667,12.1111
6.2,11.9562
6.2333,11.8851
6.2667,12.109
6.3,12.036
6.3333,11.8276
6.3667,12.0023
6.4,11.9647
6.4333,12.1352
6.4667,11.9363
6.5,11.9476
6.5333,11.9211
6.5667,11.91
6.6,11.939
6.6333,11.8813
6.6667,11.9149
6.7,11.8702
6.7333,11.8803
6.7667,11.8766
6.8,11.9607
6.8333,11.9485
6.8667,11.9056
6.9,12.0422
6.9333,12.0
6.9667,11.969
7.0,11.9658
7.0333,12.1296
7.0667,12.0205
7.1,12.0384
7.1333,11.7927
7.1667,11.9465
7.2,11.8245
7.2333,11.9636
7.2667,12.0273
7.3,11.9435
7.3333,12.039
7.3667,11.916
7.4,12.0444
7.4333,11.8745
7.4667,11.9785
7.5,12.0336
7.5333,12.0434
7.5667,11.9908
7.6,12.1565
7.6333,11.9684
7.6667,11.9656
7.7,11.7809
7.7333,12.143
7.7667,11.9718
7.8,11.9069
7.8333,12.1063
7.8667,12.099
7.9,12.0085
7.9333,11.8847
7.9667,12.0327
8.0,11.9493
8.0333,11.9052
8.0667,12.0824
8.1,11.8283
8.1333,12.0444
8.1667,12.036
8.2,12.1636
8.2333,12.0257
8.2667,11.8353
8.3,11.9333
8.3333,12.0056
8.3667,12.029
8.4,12.0791
8.4333,11.844
8.4667,11.9743
8.5,12.0783
8.5333,12.1241
8.5667,12.1493
8.6,11.969
8.6333,12.0879
8.6667,12.1369
8.7,12.0956
8.7333,12.0576
8.7667,12.0658
8.8,11.9363
8.8333,11.8837
8.8667,12.0782
8.9,11.9718
8.9333,11.9974
8.9667,11.9535
9.0,11.9684
9.0333,12.0186
9.0667,11.9183
9.1,12.0057
9.1333,12.0199
9.1667,11.9941
9.2,11.9408
9.2333,12.0632
9.2667,12.1501
9.3,11.9521
9.3333,12.0989
9.3667,12.0713
9.4,11.7878
9.4333,11.9391
9.4667,11.949
9.5,12.0624
9.5333,12.0149
9.5667,12.0378
9.6,12.0507
9.6333,11.9279
9.6667,11.9401
9.7,11.902
9.7333,11.9863
9.7667,11.9904
9.8,12.0137
9.8333,11.9418
9.8667,12.0726
9.9,12.0735
9.9333,12.1238
9.9667,12.057
10.0,12.015
10.0333,12.0539
10.0667,12.0489
10.1,11.9479
10.1333,12.1032
10.1667,12.1375
10.2,12.1581
10.2333,12.0028
10.2667,12.0259
10.3,12.0332
10.3333,11.9997
10.3667,12.0495
10.4,11.9902
10.4333,11.9844
10.4667,12.1407
10.5,12.0131
10.5333,12.0053
10.5667,12.0706
10.6,12.012
10.6333,12.0234
10.6667,11.995
10.7,11.9024
10.7333,11.9976
10.7667,11.9091
10.8,12.0169
10.8333,11.9055
10.8667,12.0734
10.9,12.06
10.9333,12.0224
10.9667,11.992
11.0,12.0333
11.0333,11.8428
11.0667,11.9122
11.1,11.9881
11.1333,12.0276
11.1667,11.9936
11.2,11.9196
11.2333,12.0106
11.2667,11.9637
11.3,11.9145
11.3333,12.0264
11.3667,11.9832
11.4,12.0957
11.4333,12.0533
11.4667,12.0588
11.5,12.0258
11.5333,11.9324
11.5667,11.9252
11.6,11.8823
11.6333,12.2303
11.6667,11.9137
11.7,11.9832
11.7333,11.9712
11.7667,11.9775
11.8,11.9533
11.8333,11.8505
11.8667,11.9201
11.9,11.8887
11.9333,11.9898
11.9667,11.9452
