time_seconds,position_cm
0.0,19.9885
0.0333,19.653
0.0667,18.7659
0.1,17.451
0.1333,15.6228
0.1667,13.5024
0.2,11.5391
0.2333,9.4382
0.2667,7.596
0.3,6.1164
0.3333,5.0667
0.3667,4.6024
0.4,4.5778
0.4333,5.0981
0.4667,6.0952
0.5,7.5563
0.5333,9.4455
0.5667,11.49
0.6,13.3734
0.6333,15.2262
0.6667,16.8862
0.7,17.9651
0.7333,18.8358
0.7667,19.1686
0.8,18.9423
0.8333,18.0949
0.8667,16.9451
0.9,15.3872
0.9333,13.6507
0.9667,11.6212
1.0,9.9177
1.0333,8.0874
1.0667,6.6299
1.1,5.8139
1.1333,5.2719
1.1667,5.3912
1.2,5.8402
1.2333,6.6065
1.2667,8.068
1.3,9.4966
1.3333,11.3085
1.3667,13.0633
1.4,14.7702
1.4333,16.2816
1.4667,17.3986
1.5,18.1035
1.5333,18.4027
1.5667,18.1957
1.6,17.4645
1.6333,16.4164
1.6667,15.0776
1.7,13.5817
1.7333,11.8508
1.7667,10.4129
1.8,8.6621
1.8333,7.3963
1.8667,6.6458
1.9,6.2042
1.9333,6.0753
1.9667,6.4842
2.0,7.3194
2.0333,8.3296
2.0667,9.6124
2.1,11.2257
2.1333,12.9249
2.1667,14.2355
2.2,15.6688
2.2333,16.7195
2.2667,17.3522
2.3,17.7125
2.3333,17.5608
2.3667,17.1568
2.4,16.1183
2.4333,14.8281
2.4667,13.4411
2.5,11.9335
2.5333,10.605
2.5667,9.1347
2.6,8.046
2.6333,7.2838
2.6667,6.6967
2.7,6.6512
2.7333,6.8388
2.7667,7.5755
2.8,8.604
2.8333,9.906
2.8667,11.3353
2.9,12.6475
2.9333,14.0175
2.9667,15.1978
3.0,16.2136
3.0333,16.8287
3.0667,17.0545
3.1,16.8552
3.1333,16.5508
3.1667,15.7277
3.2,14.7506
3.2333,13.4213
3.2667,12.2589
3.3,10.7585
3.3333,9.7013
3.3667,8.5597
3.4,7.749
3.4333,7.256
3.4667,7.2359
3.5,7.613
3.5333,8.1432
3.5667,8.9936
3.6,9.825
3.6333,11.2833
3.6667,12.5269
3.7,13.6466
3.7333,14.7126
3.7667,15.6215
3.8,16.3445
3.8333,16.3926
3.8667,16.3822
3.9,16.1416
3.9333,15.3213
3.9667,14.4127
4.0,13.3646
4.0333,12.0836
4.0667,11.025
4.1,9.8196
4.1333,9.0598
4.1667,8.2919
4.2,8.0558
4.2333,7.7839
4.2667,8.071
4.3,8.3518
4.3333,9.1957
4.3667,10.1782
4.4,11.3649
4.4333,12.2098
4.4667,13.5062
4.5,14.4415
4.5333,15.2989
4.5667,15.7746
4.6,15.9851
4.6333,15.908
4.6667,15.5294
4.7,15.0614
4.7333,14.2294
4.7667,13.4487
4.8,12.1956
4.8333,11.2201
4.8667,10.0883
4.9,9.3424
4.9333,8.756
4.9667,8.4079
5.0,8.3369
5.0333,8.3749
5.0667,8.7104
5.1,9.4883
5.1333,10.3253
5.1667,11.273
5.2,12.1742
5.2333,13.2907
5.2667,14.0792
5.3,14.8396
5.3333,15.3858
5.3667,15.5871
5.4,15.5537
5.4333,15.4366
5.4667,14.7808
5.5,14.037
5.5333,13.2249
5.5667,12.4091
5.6,11.3623
5.6333,10.5136
5.6667,9.8077
5.7,9.0863
5.7333,8.6211
5.7667,8.6563
5.8,8.7721
5.8333,9.0633
5.8667,9.748
5.9,10.458
5.9333,11.1702
5.9667,12.1783
6.0,12.9894
6.0333,13.6723
6.0667,14.4739
6.1,14.8956
6.1333,15.0839
6.1667,15.1967
6.2,14.9738
6.2333,14.4554
6.2667,13.9214
6.3,13.2259
6.3333,12.2664
6.3667,11.5171
6.4,10.696
6.4333,10.1897
6.4667,9.325
6.5,9.1858
6.5333,8.9756
6.5667,9.0834
6.6,9.5472
6.6333,9.8861
6.6667,10.7078
6.7,11.2364
6.7333,12.0891
6.7667,12.7987
6.8,13.4905
6.8333,14.1381
6.8667,14.5356
6.9,14.8077
6.9333,14.6493
6.9667,14.7973
7.0,14.2515
7.0333,13.8697
7.0667,12.9935
7.1,12.369
7.1333,11.8523
7.1667,10.8199
7.2,10.1486
7.2333,9.7365
7.2667,9.4977
7.3,9.3844
7.3333,9.4985
7.3667,9.6313
7.4,9.9499
7.4333,10.6062
7.4667,11.3973
7.5,12.0373
7.5333,12.5384
7.5667,13.3292
7.6,13.977
7.6333,14.4262
7.6667,14.5227
7.7,14.5402
7.7333,14.2692
7.7667,13.9816
7.8,13.5864
7.8333,13.0451
7.8667,12.4055
7.9,11.6552
7.9333,10.9647
7.9667,10.4336
8.0,9.9581
8.0333,9.8043
8.0667,9.4378
8.1,9.6417
8.1333,9.9205
8.1667,10.3753
8.2,10.7528
8.2333,11.4076
8.2667,11.9196
8.3,12.5133
8.3333,13.0921
8.3667,13.7516
8.4,14.0681
8.4333,14.2372
8.4667,14.5111
8.5,14.1234
8.5333,13.9023
8.5667,13.4708
8.6,12.9199
8.6333,12.5507
8.6667,11.8926
8.7,11.0894
8.7333,10.6629
8.7667,10.3235
8.8,10.0756
8.8333,9.7773
8.8667,9.7334
8.9,9.9426
8.9333,10.4086
8.9667,10.8383
9.0,11.3867
9.0333,11.852
9.0667,12.3709
9.1,12.8224
9.1333,13.4486
9.1667,13.7813
9.2,14.0288
9.2333,14.0654
9.2667,13.8923
9.3,13.782
