time_seconds,position_cm
0.0,19.9907
0.0333,19.5218
0.0667,18.5655
0.1,17.1761
0.1333,15.4118
0.1667,13.6124
0.2,11.5372
0.2333,9.7569
0.2667,8.1329
0.3,6.6163
0.3333,5.5858
0.3667,5.2591
0.4,5.3645
0.4333,5.8126
0.4667,6.898
0.5,8.2681
0.5333,9.7697
0.5667,11.4198
0.6,13.0836
0.6333,14.8179
0.6667,15.9529
0.7,16.8631
0.7333,17.4761
0.7667,17.7409
0.8,17.3513
0.8333,16.8002
0.8667,15.8479
0.9,14.6305
0.9333,13.3123
0.9667,11.7391
1.0,10.5143
1.0333,9.1557
1.0667,8.2209
1.1,7.6832
1.1333,7.3291
1.1667,7.2936
1.2,7.5701
1.2333,8.3868
1.2667,9.2142
1.3,10.2854
1.3333,11.4892
1.3667,12.741
1.4,13.6444
1.4333,14.7715
1.4667,15.4579
1.5,15.8271
1.5333,16.092
1.5667,15.8973
1.6,15.3639
1.6333,14.6871
1.6667,13.9451
1.7,12.8045
1.7333,11.8966
1.7667,10.9053
1.8,10.0987
1.8333,9.4115
1.8667,8.9094
1.9,8.7488
1.9333,8.6784
1.9667,8.8802
2.0,9.2718
2.0333,10.0675
2.0667,10.8191
2.1,11.7263
2.1333,12.3877
2.1667,13.2295
2.2,13.8901
2.2333,14.3976
2.2667,14.7251
2.3,14.699
2.3333,14.8043
2.3667,14.4962
2.4,14.0709
2.4333,13.5664
2.4667,12.6835
2.5,11.9971
2.5333,11.3127
2.5667,10.8497
2.6,10.0515
2.6333,9.8712
2.6667,9.5254
2.7,9.4245
2.7333,9.6301
2.7667,9.9979
2.8,10.6391
2.8333,11.0213
2.8667,11.6601
2.9,12.1788
2.9333,12.877
2.9667,13.2195
3.0,13.7833
3.0333,13.8355
3.0667,13.9444
3.1,13.9574
3.1333,13.7514
3.1667,13.5438
3.2,13.0253
3.2333,12.4431
3.2667,11.9937
3.3,11.5035
3.3333,11.1655
3.3667,10.7743
3.4,10.4724
3.4333,10.4082
3.4667,10.2781
3.5,10.4141
3.5333,10.6556
3.5667,11.0721
3.6,11.318
3.6333,11.7118
3.6667,12.0769
3.7,12.612
3.7333,12.8544
3.7667,13.1974
3.8,13.1932
3.8333,13.501
3.8667,13.2779
3.9,13.1894
3.9333,13.1162
3.9667,12.6361
4.0,12.4023
4.0333,12.0605
4.0667,11.6271
4.1,11.4984
4.1333,11.2486
4.1667,10.7798
4.2,10.7135
4.2333,10.8743
4.2667,10.773
4.3,10.9934
4.3333,11.2488
4.3667,11.5568
4.4,11.7752
4.4333,12.0987
4.4667,12.3115
4.5,12.7241
4.5333,12.7756
4.5667,12.9719
4.6,12.9606
4.6333,12.9923
4.6667,12.8815
4.7,12.7306
4.7333,12.4615
4.7667,12.3717
4.8,12.1711
4.8333,11.8305
4.8667,11.6438
4.9,11.4633
4.9333,11.331
4.9667,11.1999
5.0,11.1738
5.0333,11.2691
5.0667,11.3056
5.1,11.3703
5.1333,11.634
5.1667,11.6863
5.2,12.0479
5.2333,12.2827
5.2667,12.5257
5.3,12.5797
5.3333,12.7373
5.3667,12.7072
5.4,12.6169
5.4333,12.5267
5.4667,12.4581
5.5,12.2865
5.5333,12.2819
5.5667,12.0381
5.6,11.925
5.6333,11.7239
5.6667,11.6655
5.7,11.5653
5.7333,11.3681
5.7667,11.381
5.8,11.3876
5.8333,11.3684
5.8667,11.6546
5.9,11.8242
5.9333,11.873
5.9667,11.9834
6.0,12.2534
6.0333,12.1055
6.0667,12.4092
6.1,12.4765
6.1333,12.4536
6.1667,12.6074
6.2,12.5345
6.2333,12.3647
6.2667,12.2814
6.3,12.1419
6.3333,12.0074
6.3667,11.8193
6.4,11.9192
6.4333,11.7932
6.4667,11.7009
6.5,11.5041
6.5333,11.7439
6.5667,11.7528
6.6,11.6554
6.6333,11.6388
6.6667,11.7315
6.7,11.9359
6.7333,11.9351
6.7667,12.1073
6.8,12.2881
6.8333,12.1541
6.8667,12.4865
6.9,12.4776
6.9333,12.2531
6.9667,12.2131
7.0,12.2547
7.0333,12.1273
7.0667,12.1078
7.1,11.8346
7.1333,11.9345
7.1667,12.0149
7.2,11.711
7.2333,11.7247
7.2667,11.5937
7.3,11.7521
7.3333,11.6934
7.3667,11.8977
7.4,11.8078
7.4333,11.8241
7.4667,11.9693
7.5,11.9595
7.5333,11.9654
7.5667,12.1618
7.6,12.1768
7.6333,12.2418
7.6667,12.2785
7.7,12.2089
7.7333,12.2665
7.7667,12.3384
7.8,12.0638
7.8333,12.2348
7.8667,12.0145
7.9,11.91
7.9333,12.1069
7.9667,11.8746
8.0,11.9328
8.0333,11.8636
8.0667,11.6542
8.1,11.8044
8.1333,11.7736
8.1667,11.742
8.2,11.7512
8.2333,11.9513
8.2667,12.0432
8.3,12.0787
8.3333,12.0696
8.3667,12.0685
8.4,12.081
8.4333,12.1307
8.4667,12.0944
8.5,12.1497
8.5333,12.1414
8.5667,12.039
8.6,12.0525
8.6333,11.9666
8.6667,11.9827
8.7,11.9818
8.7333,11.9192
8.7667,11.9145
8.8,11.726
8.8333,11.8203
8.8667,11.8762
8.9,11.9194
8.9333,11.7634
8.9667,11.9344
9.0,12.0534
9.0333,11.98
9.0667,12.0233
9.1,12.1002
9.1333,12.1116
9.1667,12.166
9.2,12.1292
9.2333,12.1377
9.2667,12.0557
9.3,12.0892
9.3333,12.1805
9.3667,12.0362
9.4,12.0083
9.4333,11.9511
9.4667,12.0236
9.5,11.8662
9.5333,11.9869
9.5667,11.8255
9.6,11.8098
9.6333,11.9128
9.6667,11.9161
9.7,11.9454
9.7333,12.0278
9.7667,11.9345
9.8,12.0293
9.8333,11.9471
9.8667,12.1445
9.9,12.1142
9.9333,12.1213
