t,x,y,run,mass_key,paddle_key
0.0,-0.242,1.064,run01,M1,P0
0.1,-0.339,-1.306,run01,M1,P0
0.2,-0.29,-4.595,run01,M1,P0
0.3,-0.193,-6.626,run01,M1,P0
0.4,0.09674,-5.853,run01,M1,P0
0.5,0.242,-2.709,run01,M1,P0
0.601,0.339,0.387,run01,M1,P0
0.701,0.242,1.064,run01,M1,P0
0.801,0.242,-1.209,run01,M1,P0
0.901,0.29,-4.837,run01,M1,P0
1.001,-0.145,-6.917,run01,M1,P0
1.101,-0.193,-5.853,run01,M1,P0
1.201,-0.29,-2.757,run01,M1,P0
1.301,-0.339,0.04837,run01,M1,P0
1.401,-0.29,0.726,run01,M1,P0
1.502,-0.242,-0.58,run01,M1,P0
1.602,-0.145,-3.289,run01,M1,P0
1.702,-0.09674,-5.949,run01,M1,P0
1.802,0.29,-6.578,run01,M1,P0
1.902,0.435,-4.256,run01,M1,P0
2.002,0.29,-0.774,run01,M1,P0
2.102,0.29,1.161,run01,M1,P0
2.202,0.242,-0.09674,run01,M1,P0
2.302,-0.09674,-2.999,run01,M1,P0
2.402,-0.193,-5.949,run01,M1,P0
2.502,-0.242,-6.481,run01,M1,P0
2.603,-0.09674,-4.256,run01,M1,P0
2.703,-0.09674,-1.209,run01,M1,P0
2.803,0.145,0.58,run01,M1,P0
2.903,0.04837,0.29,run01,M1,P0
3.003,0.145,-2.564,run01,M1,P0
3.103,0.242,-5.611,run01,M1,P0
3.203,0.242,-7.062,run01,M1,P0
3.303,0.145,-5.417,run01,M1,P0
3.403,-0.193,-1.645,run01,M1,P0
3.503,-0.193,0.919,run01,M1,P0
3.604,-0.242,0.435,run01,M1,P0
3.704,-0.339,-2.467,run01,M1,P0
3.804,-0.29,-5.417,run01,M1,P0
3.904,-0.242,-6.626,run01,M1,P0
4.004,0.145,-4.934,run01,M1,P0
4.104,0.193,-1.741,run01,M1,P0
4.204,0.339,0.822,run01,M1,P0
4.304,0.339,0.242,run01,M1,P0
4.404,0.435,-2.467,run01,M1,P0
4.505,0.484,-6.046,run01,M1,P0
4.605,0.0,-7.062,run01,M1,P0
4.705,-0.29,-5.079,run01,M1,P0
