guessed_values,run
"[ 3.86450653e+00  7.63826000e-03  8.86863799e+00 -4.05668652e-02
 -2.87995341e+00]",run01
[ 4.3135051   0.01198521  8.84418757 -2.89175719 -2.87644933],run02
[ 4.30907146  0.02639611  8.73582991 -1.3715739  -3.08849621],run03
[ 2.9722164   0.05275185  8.52389835  0.02432772 -3.36850759],run04
"[-3.61334472e+00  6.03542499e-03  8.92836235e+00 -4.81255028e-01
 -2.92093240e+00]",run05
"[-3.10797967e+00  4.52168348e-03  7.91007801e+00 -1.45361983e-01
 -4.23521580e+00]",run06
"[ 3.32013113e+00  6.85448491e-03  7.88184291e+00  6.28903629e-01
 -4.39611077e+00]",run07
[-3.20808646  0.01828088  7.77220908  1.12132937 -4.60555262],run08
[ 3.26552128  0.04228708  7.60850506  1.06398096 -4.93889607],run09
"[-3.39430416e+00  6.25541141e-03  7.87360095e+00  9.19802884e-01
 -4.38783756e+00]",run10
"[-3.56341616e+00  3.42312147e-03  7.31654158e+00  1.41007106e+00
 -2.18387907e+01]",run11
"[ 3.18577430e+00  5.55756842e-03  7.29380125e+00  2.42944953e+00
 -5.44833170e+00]",run12
[ 3.63700707  0.01582572  7.19314769  2.73302769 -5.69093861],run13
[-3.91998971  0.04044585  7.06070333 -0.16509906 -5.96560494],run14
[ -3.61720248   0.03543324   7.03924962   0.25721133 -22.08189557],run15
