t,x,y
3.236,-6.703,-12.15
3.269,-6.739,-12.11
3.303,-6.918,-11.86
3.336,-6.846,-12.08
3.369,-6.846,-12.15
3.403,-6.918,-12.08
3.436,-6.882,-12.04
3.47,-6.882,-12.04
3.503,-6.918,-11.5
3.536,-6.989,-10.79
3.57,-7.097,-9.568
3.603,-7.133,-8.458
3.636,-7.133,-7.061
3.67,-7.061,-5.879
3.703,-7.061,-4.804
3.736,-6.989,-3.873
3.77,-6.989,-3.551
3.803,-6.989,-3.479
3.836,-6.989,-3.694
3.87,-7.025,-4.374
3.903,-6.989,-5.091
3.937,-6.989,-6.165
3.97,-6.882,-7.097
4.003,-6.81,-8.1
4.037,-6.81,-8.852
4.07,-6.703,-9.64
4.103,-6.667,-10.32
4.137,-6.667,-10.64
4.17,-6.595,-10.79
4.203,-6.595,-10.64
4.237,-6.595,-10.21
4.27,-6.559,-9.425
4.304,-6.488,-8.601
4.337,-6.524,-7.598
4.37,-6.524,-6.488
4.404,-6.595,-5.413
4.437,-6.667,-4.303
4.47,-6.703,-3.766
4.504,-6.703,-3.551
4.537,-6.631,-3.586
4.57,-6.631,-3.98
4.604,-6.559,-5.055
4.637,-6.774,-5.807
4.671,-6.846,-6.846
4.704,-6.846,-8.028
4.737,-6.81,-9.174
4.771,-6.703,-10.25
4.804,-6.846,-11.0
4.837,-6.81,-11.18
4.871,-6.81,-11.0
4.904,-6.846,-10.82
4.937,-6.846,-10.39
4.971,-6.918,-9.712
5.004,-6.918,-8.888
5.037,-6.846,-8.028
5.071,-6.81,-7.097
5.104,-6.774,-6.201
5.138,-6.703,-5.27
5.171,-6.703,-4.733
5.204,-6.703,-4.41
5.238,-6.739,-4.124
5.271,-6.739,-4.303
5.304,-6.739,-4.554
5.338,-6.739,-5.019
5.371,-6.703,-5.342
5.404,-6.595,-6.058
5.438,-6.488,-6.918
5.471,-6.559,-7.885
5.505,-6.524,-8.709
5.538,-6.595,-9.533
5.571,-6.524,-10.14
5.605,-6.595,-10.75
5.638,-6.703,-11.11
5.671,-6.631,-11.11
5.705,-6.559,-10.82
5.738,-6.703,-10.28
5.771,-6.846,-8.995
5.805,-6.918,-8.064
5.838,-6.918,-6.882
5.871,-6.953,-6.022
5.905,-7.061,-5.019
5.938,-7.025,-4.446
5.972,-7.061,-3.945
6.005,-7.061,-3.873
6.038,-7.061,-3.98
6.072,-7.025,-4.625
6.105,-7.133,-5.485
6.138,-7.168,-6.309
6.172,-7.097,-7.419
6.205,-7.097,-8.565
6.238,-7.025,-9.425
6.272,-6.882,-9.819
6.305,-6.918,-10.28
6.339,-6.918,-10.64
6.372,-6.918,-10.46
6.405,-6.882,-10.11
6.439,-6.882,-9.712
6.472,-6.631,-8.995
6.505,-6.559,-7.992
6.539,-6.559,-7.061
6.572,-6.488,-5.915
6.605,-6.488,-5.27
6.639,-6.559,-4.482
6.672,-6.595,-4.016
6.706,-6.595,-3.73
6.739,-6.559,-3.837
6.772,-6.524,-4.16
6.806,-6.631,-5.055
6.839,-6.667,-5.986
6.872,-6.631,-6.739
6.906,-6.488,-8.064
6.939,-6.416,-9.21
6.972,-6.488,-10.21
7.006,-6.524,-11.04
7.039,-6.667,-11.61
7.072,-6.918,-11.75
7.106,-6.953,-11.4
7.139,-7.061,-10.68
7.173,-7.061,-9.962
7.206,-7.061,-9.067
7.239,-7.061,-7.992
7.273,-7.097,-6.703
7.306,-7.168,-5.449
7.339,-7.204,-4.589
7.373,-7.133,-4.016
7.406,-7.133,-3.694
7.439,-7.097,-3.801
7.473,-7.097,-4.339
7.506,-7.097,-4.912
7.54,-7.097,-5.521
7.573,-7.097,-6.345
7.606,-7.133,-7.383
7.64,-7.133,-8.422
7.673,-7.133,-8.959
