time_seconds,position_cm,mass,paddle,trial
0.0,-10.79,keys,none,1
0.6,-10.95,keys,none,1
2.533,-11.52,keys,none,1
5.766,-16.16,keys,none,1
5.8,-16.12,keys,none,1
5.833,-16.19,keys,none,1
5.866,-16.19,keys,none,1
5.9,-16.19,keys,none,1
5.933,-16.19,keys,none,1
5.966,-16.28,keys,none,1
6.0,-16.35,keys,none,1
6.033,-16.25,keys,none,1
6.066,-16.35,keys,none,1
6.1,-16.38,keys,none,1
6.966,-16.54,keys,none,1
7.833,-17.08,keys,none,1
8.199,-17.3,keys,none,1
8.466,-17.17,keys,none,1
8.499,-16.38,keys,none,1
8.533,-16.38,keys,none,1
8.566,-15.17,keys,none,1
8.599,-13.49,keys,none,1
8.633,-11.77,keys,none,1
8.666,-10.12,keys,none,1
8.699,-8.372,keys,none,1
8.733,-6.974,keys,none,1
8.766,-5.989,keys,none,1
8.799,-5.322,keys,none,1
8.833,-5.354,keys,none,1
8.866,-5.862,keys,none,1
8.899,-6.752,keys,none,1
8.933,-8.023,keys,none,1
8.966,-9.357,keys,none,1
8.999,-11.01,keys,none,1
9.033,-12.44,keys,none,1
9.066,-13.55,keys,none,1
9.099,-14.57,keys,none,1
9.133,-15.11,keys,none,1
9.166,-15.04,keys,none,1
9.199,-14.5,keys,none,1
9.233,-13.46,keys,none,1
9.266,-12.15,keys,none,1
9.299,-10.95,keys,none,1
9.333,-9.738,keys,none,1
9.366,-8.531,keys,none,1
9.399,-7.514,keys,none,1
9.433,-6.911,keys,none,1
9.466,-6.752,keys,none,1
9.499,-6.911,keys,none,1
9.533,-7.324,keys,none,1
9.566,-8.118,keys,none,1
9.599,-9.103,keys,none,1
9.633,-10.21,keys,none,1
9.666,-11.33,keys,none,1
9.699,-12.66,keys,none,1
9.733,-13.39,keys,none,1
9.766,-14.0,keys,none,1
9.799,-14.22,keys,none,1
9.833,-13.93,keys,none,1
9.866,-13.46,keys,none,1
9.899,-12.69,keys,none,1
9.933,-11.68,keys,none,1
9.966,-10.56,keys,none,1
9.999,-9.643,keys,none,1
10.033,-8.722,keys,none,1
10.066,-8.118,keys,none,1
10.099,-7.673,keys,none,1
10.133,-7.578,keys,none,1
10.166,-7.832,keys,none,1
10.199,-8.245,keys,none,1
10.233,-9.008,keys,none,1
10.266,-9.992,keys,none,1
10.299,-10.98,keys,none,1
10.333,-11.93,keys,none,1
10.366,-12.63,keys,none,1
10.399,-13.14,keys,none,1
10.433,-13.46,keys,none,1
10.466,-13.52,keys,none,1
10.499,-13.17,keys,none,1
10.533,-12.72,keys,none,1
10.566,-11.96,keys,none,1
10.599,-11.2,keys,none,1
10.633,-10.34,keys,none,1
10.666,-9.548,keys,none,1
10.699,-8.976,keys,none,1
10.732,-8.563,keys,none,1
10.766,-8.309,keys,none,1
10.799,-8.404,keys,none,1
10.832,-8.753,keys,none,1
10.866,-9.262,keys,none,1
10.899,-9.897,keys,none,1
10.932,-10.63,keys,none,1
10.966,-11.39,keys,none,1
10.999,-12.06,keys,none,1
11.032,-12.44,keys,none,1
11.066,-12.82,keys,none,1
11.099,-13.04,keys,none,1
11.132,-12.72,keys,none,1
11.166,-12.38,keys,none,1
11.199,-11.8,keys,none,1
11.232,-11.3,keys,none,1
11.266,-10.56,keys,none,1
11.299,-9.961,keys,none,1
11.332,-9.548,keys,none,1
11.366,-9.039,keys,none,1
11.399,-8.849,keys,none,1
11.432,-8.817,keys,none,1
11.466,-9.198,keys,none,1
11.499,-9.548,keys,none,1
11.532,-10.09,keys,none,1
11.566,-10.56,keys,none,1
11.599,-11.23,keys,none,1
11.632,-11.64,keys,none,1
11.666,-12.09,keys,none,1
11.699,-12.34,keys,none,1
11.732,-12.57,keys,none,1
11.766,-12.34,keys,none,1
11.799,-12.03,keys,none,1
11.832,-11.55,keys,none,1
11.866,-11.17,keys,none,1
11.899,-10.69,keys,none,1
11.932,-10.15,keys,none,1
11.966,-9.738,keys,none,1
11.999,-9.357,keys,none,1
12.032,-9.071,keys,none,1
12.066,-9.135,keys,none,1
12.099,-9.421,keys,none,1
12.132,-9.77,keys,none,1
12.166,-10.09,keys,none,1
12.199,-10.47,keys,none,1
12.232,-11.01,keys,none,1
12.266,-11.39,keys,none,1
12.299,-11.8,keys,none,1
12.332,-12.12,keys,none,1
12.366,-12.22,keys,none,1
12.399,-12.06,keys,none,1
12.432,-11.87,keys,none,1
12.466,-11.58,keys,none,1
12.499,-11.2,keys,none,1
12.532,-10.72,keys,none,1
12.566,-10.28,keys,none,1
12.599,-9.834,keys,none,1
12.632,-9.611,keys,none,1
12.666,-9.516,keys,none,1
12.699,-9.548,keys,none,1
12.732,-9.643,keys,none,1
12.766,-10.02,keys,none,1
12.799,-10.31,keys,none,1
